lc,maxlai,minlai,maxalb,minalb,maxg,g1,g2,g3,g4,g5,tl,th,g6,smdWP,sddfull,gddfull,baset,basete
EveTr,2.46,0.55,0.11,0.09,20.5,1,62,0.391,0.9,30,-10,55,0.22,511,-500,625,4,14
DecTr,2.9,0.66,0.125,0.1,21.2,1,100,0.439,0.9,30,-10,55,0.28,521,-273,475,7.3,20.6
Grass,2.15,0.35,0.185,0.156,38.6,1,87,0.467,0.9,30,-10,55,0.22,521,-482,484,4,16.5
BSoil,,,,,10.9,1,108.93,0.93,0.96,42.26,,,0.041,,-1000,1000,,
Crop,,,,,234.8,1,105.13,0.97,0.75,36.91,,,0.046,,,,,
