maxlai,minlai,maxalb,minalb,maxg,g1,g2,g3,g4,g5,g6
2.3,0.8,0.1,0.07,21.83,1,104.383,0.509,0.772,36.277,0.023
4,0.5,0.14,0.1,33.52,1,104.823,0.529,0.592,36.3,0.03
1.3,0.15,0.2,0.16,13.86,1,104.47,0.789,0.612,37.243,0.025
