lc,maxlai,minlai,maxalb,minalb,maxg,g1,g2,g3,g4,g5,g6,sddfull,gddfull,baset,basete
EveTr,2.2,0.56,0.1,0.08,14.9,1,104.64,0.7,0.63,36.62,0.22,-1000,1000,4,14
DecTr,4.1,0.5,0.14,0.1,89.9,1,104.1,0.16,0.57,25.92,0.28,-1000,1000,7.3,20.6
Grass,1.35,0.15,0.2,0.16,24.2,1,104.85,0.49,0.61,36.63,0.22,-1000,1000,4,16.5
BSoil,,,,,10.9,1,108.93,0.93,0.96,42.26,0.041,-1000,1000,,
